customer_id,phone,country,address,level_royalty
CUST0001,001-830-979-4371x8855,USA,"6359 James Crossroad Ronaldside, PR 56083",Bronze
CUST0002,001-347-734-1533,France,"5443 Tamara Drive Apt. 464 South Chloe, FM 30925",Silver
CUST0003,749.833.4638x06228,UK,"8952 Jeffrey Mountain West Jonathan, AZ 29024",Silver
CUST0004,+1-732-249-8018x3500,USA,"8839 Tammy Walk Boyerfurt, AL 17488",Bronze
CUST0005,975.827.5971x3401,Singapore,Unit 9255 Box 9197 DPO AA 56889,Platinum
CUST0006,503-850-7595x0590,Korea,"0956 Roberts Park Kennethchester, CO 76541",Bronze
CUST0007,+1-839-888-7398x3978,USA,"8836 Brenda Keys Apt. 995 New Vicki, HI 35866",Silver
CUST0008,792.201.2847x308,UK,"493 Johnson Mill Suite 422 Jenniferport, MH 29319",Bronze
CUST0009,(575)742-4693x4827,Vietnam,"9652 Thomas Green Apt. 681 Katherineside, NV 72837",Silver
CUST0010,3153825619,Vietnam,"88795 King Mills Lake Marco, MN 66144",Platinum
CUST0011,(906)679-8320,UK,"46735 Gill Trail Mckenzieberg, AS 87288",Platinum
CUST0012,999.280.0616x8972,Singapore,"645 Porter Crossing Lake Ryan, WI 34571",Gold
CUST0013,341.261.4418x196,Korea,Unit 1935 Box 9465 DPO AA 97349,Silver
CUST0014,2666978520,Canada,"124 Henderson Ways Apt. 337 Harrishaven, TX 34524",Gold
CUST0015,+1-535-897-3059x3131,France,Unit 3392 Box 3520 DPO AA 15378,Silver
CUST0016,749.483.0341x94124,UK,"5949 Johnson Lane Wendyside, TX 24516",Gold
CUST0017,+1-988-651-6173x17209,USA,"7597 Michael Views Suite 636 North Jessicamouth, NJ 27456",Bronze
CUST0018,725.704.8353x165,Canada,"215 Hoffman Alley Suite 442 Ashleyburgh, PW 76976",Bronze
CUST0019,001-644-590-2547x491,Germany,Unit 7399 Box 8291 DPO AP 02921,Gold
CUST0020,+1-418-952-5641x18969,Singapore,"PSC 4517, Box 1259 APO AP 95904",Gold
CUST0021,504.473.7744,Korea,"PSC 1625, Box 1228 APO AP 88799",Platinum
CUST0022,9984791659,Vietnam,"96983 Jessica Trafficway Apt. 119 East Kristina, PA 34977",Bronze
CUST0023,596.477.8659x96489,Canada,"546 Jimmy Stream Tonyfurt, VA 38817",Bronze
CUST0024,(418)539-3159x645,Vietnam,"22444 Katrina Turnpike Ramosville, AS 72714",Gold
CUST0025,832-246-5849,Singapore,"0917 Gibbs Bypass Suite 307 Tiffanyshire, WI 55516",Gold
CUST0026,911.960.8636x897,Singapore,"984 Leslie Mount Suite 043 West Charles, UT 53695",Silver
CUST0027,629.548.3766x4313,USA,"9281 Bush Mall Apt. 828 South Sandra, SC 42573",Bronze
CUST0028,846-675-8913,UK,"51320 Kristen Plaza Apt. 038 South Marytown, IA 83638",Gold
CUST0029,718.892.4803x277,USA,"8147 Jonathon Freeway Apt. 170 North Kellyside, GU 76611",Silver
CUST0030,475.438.3729,USA,"25459 Collins Station Apt. 103 Christophershire, TX 44474",Platinum
CUST0031,+1-650-899-3692,France,Unit 3485 Box 5342 DPO AP 23399,Platinum
CUST0032,(353)465-8187x44328,Germany,"25772 Long Springs Loriview, AZ 57766",Silver
CUST0033,224.732.5413,Germany,USCGC Walton FPO AE 22337,Gold
CUST0034,001-586-724-3641x188,UK,"93242 Smith Orchard Suite 549 Port Melody, TX 80500",Gold
CUST0035,325-798-9153x108,USA,"6589 Kathryn Forges Troyhaven, WV 02818",Silver
CUST0036,808-591-2404x3743,Vietnam,"479 Jones Forge West Markport, AK 78979",Silver
CUST0037,001-495-386-4916,Japan,"7730 Autumn Forks Suite 885 Kennethborough, MT 26282",Platinum
CUST0038,001-839-285-0676x6840,Canada,"953 Michael Unions Marychester, LA 94611",Gold
CUST0039,687.720.2049,Vietnam,"PSC 1770, Box 2128 APO AE 24472",Silver
CUST0040,8857900052,Germany,Unit 3096 Box 8936 DPO AP 09473,Bronze
CUST0041,(396)700-3990,UK,"027 Christopher Corners East Justin, ID 14721",Bronze
CUST0042,001-231-907-0937,Germany,"5119 Claire Glen East Joshua, CA 91550",Platinum
CUST0043,(905)543-9080x220,France,"057 Sarah View Apt. 855 Lake Nicole, KS 01763",Bronze
CUST0044,3253706720,UK,"5919 Anthony Turnpike Suite 678 West Andreaport, OH 40159",Gold
CUST0045,253.258.3969,UK,"82777 Sosa Path Suite 956 New Joseph, NE 59355",Platinum
CUST0046,275-409-5639x185,Canada,"562 Hartman Forge Suite 211 West Thomasland, AK 22871",Platinum
CUST0047,(444)591-8262,Japan,"284 Fields Greens Suite 959 West Jaclyn, VT 32665",Gold
CUST0048,683-305-7644,Japan,"100 Holt Cliff Suite 868 West Jeremychester, MS 19915",Silver
CUST0049,861.840.9535x778,Vietnam,"01090 Washington Forks Potterland, MP 84143",Gold
CUST0050,280.474.2270,Singapore,"541 Stevenson Springs Apt. 418 Danafurt, VA 84466",Platinum
CUST0051,(357)315-7140x352,Singapore,"036 Nicole Row Stephentown, FL 16072",Platinum
CUST0052,001-791-733-2067x4895,Germany,"1989 Joanne Crest Apt. 872 Ramosburgh, IA 84868",Silver
CUST0053,(350)705-0491x95723,Japan,"33088 Dawn Crossing Nicolefurt, NC 42349",Platinum
CUST0054,413-421-2087,USA,"7111 Diane Corner Apt. 422 East Thomas, NJ 52416",Bronze
CUST0055,(545)943-5340x6663,USA,USCGC Reed FPO AE 56108,Silver
CUST0056,(807)421-8633x35152,Japan,"0644 Andre Road Suite 381 Colebury, AR 38436",Platinum
CUST0057,770.383.4495x0737,Singapore,"9545 Tanya Parks Suite 500 Barnettberg, DC 20543",Bronze
